cell_id,t_max,h_mean,wind_max,precip_sum,elevation_m,ndvi,ndwi,risque_prob,niveau_vigilance,lon,lat
112443,36.8,43.0,20.5,0.0,391.0,0.3001996001992024,-0.025433871894922393,98.0,Alerte Rouge (Extrême),9.34984,35.18666
114074,34.5,43.0,21.2,0.0,634.0,0.3002938289906096,-0.03922420026165263,97.8,Alerte Rouge (Extrême),9.11939,35.33138
123849,31.9,50.0,15.9,0.0,964.0,0.30013927524349016,-0.013995246878802157,83.9,Alerte Orange (Élevé),8.93223,35.45766
125906,35.8,52.0,13.8,0.0,396.0,0.3000506834768102,-0.07800143767433243,84.6,Alerte Orange (Élevé),9.74052,35.87015
132439,36.5,59.0,17.8,0.0,256.0,0.3002867671030587,-0.04627403839201617,89.2,Alerte Rouge (Extrême),8.93144,36.38631
132919,37.5,56.0,19.7,0.0,131.0,0.30010214443288635,-0.026166794145115847,89.7,Alerte Rouge (Extrême),8.93124,36.61169
134315,37.2,52.0,24.3,0.0,183.0,0.3000215371526566,-0.054659357784401945,97.4,Alerte Rouge (Extrême),9.46679,36.41247
138883,33.1,63.0,15.1,0.3,742.0,0.30004286262314006,-0.05292740038574957,78.4,Alerte Orange (Élevé),8.37471,36.29366
139027,32.7,65.0,15.8,0.0,598.0,0.3002826694927535,-0.1310665502309408,76.1,Alerte Orange (Élevé),8.20589,36.46483
140112,31.5,70.0,14.4,0.0,633.0,0.3001919380034704,-0.07711171651619657,77.1,Alerte Orange (Élevé),8.48359,36.66468
141262,31.5,70.0,14.4,0.0,633.0,0.3003095968080267,-0.04395027132910126,77.9,Alerte Orange (Élevé),8.49431,36.73685
161095,37.5,49.0,21.1,0.1,123.0,0.30008143261384074,-0.027117611171362566,97.5,Alerte Rouge (Extrême),9.97834,35.3906
163433,37.6,50.0,21.5,0.0,92.0,0.3001038415366483,-0.016496465017287566,97.4,Alerte Rouge (Extrême),10.06725,35.45296
171460,33.5,75.0,14.6,0.0,42.0,0.3002952334451809,-0.07956411392810253,85.5,Alerte Rouge (Extrême),10.83331,36.6607
171614,32.5,76.0,13.6,0.0,21.0,0.3003201701167126,-0.04062992119585839,84.0,Alerte Orange (Élevé),10.85741,36.73244
172534,32.7,77.0,14.0,0.0,73.0,0.3002061849480285,-0.08701317491383644,85.1,Alerte Rouge (Extrême),10.77553,36.58046
172905,33.5,75.0,14.6,0.0,42.0,0.3001149860097452,-0.04423781340625837,85.7,Alerte Rouge (Extrême),10.76641,36.67073
173349,35.2,63.0,15.9,0.0,60.0,0.30035842240079136,-0.10309023473041999,87.0,Alerte Rouge (Extrême),10.68026,36.82521
176177,35.2,56.0,17.1,0.0,371.0,0.30002313139018477,-0.012822764776352073,87.5,Alerte Rouge (Extrême),9.96599,36.19311
177111,36.4,58.0,19.8,0.0,201.0,0.30004755040407144,-0.008881638555588838,89.7,Alerte Rouge (Extrême),10.14682,36.38984
178143,34.2,70.0,17.0,0.0,39.0,0.30011273889489803,-0.0613706656985664,91.6,Alerte Rouge (Extrême),10.41289,36.30586
178300,36.4,54.0,17.8,0.0,297.0,0.3001968496550274,-0.05151678324983525,88.5,Alerte Rouge (Extrême),9.92077,36.13036
180703,36.7,52.0,12.9,0.0,72.0,0.3003165981449195,-0.09334594750339649,86.9,Alerte Rouge (Extrême),10.26209,36.62306
188612,34.9,69.0,17.1,0.2,83.0,0.300112611767701,-0.14386355182820995,91.5,Alerte Rouge (Extrême),10.0228,37.13015
188737,31.2,69.0,18.6,0.0,135.0,0.300286406035941,-0.03593596857900038,87.2,Alerte Rouge (Extrême),9.91045,37.14909
